instancia,n,grafo,threads,fusiones,tiempo
21290,26,completo,11,7,0.379857
21291,26,completo,12,7,0.410616
21292,26,completo,13,5,0.375491
21293,26,completo,14,7,0.447751
21294,26,completo,15,6,0.450866
21295,26,completo,16,7,0.53395
21296,26,completo,17,5,0.536809
21297,26,completo,18,6,0.51924
21298,26,completo,19,3,0.522152
21299,26,completo,20,7,0.581169
21300,26,completo,21,5,0.697731
21301,26,completo,22,6,0.609819
21302,26,completo,23,7,0.733792
21303,26,completo,24,7,0.767119
21304,26,completo,25,6,22.4552
21305,26,completo,26,5,0.77203
21306,26,completo,27,6,0.765519
21307,26,completo,28,3,0.751834
21308,26,completo,29,7,0.936996
21309,26,completo,30,6,0.935562
21310,26,completo,31,6,0.958499
21311,26,completo,32,6,1.02583
21312,26,completo,33,5,0.89417
21313,26,completo,34,7,1.0499
21314,26,completo,35,6,1.03125
21315,26,completo,36,6,1.04884
21316,26,completo,37,7,1.06009
21317,26,completo,38,7,1.2066
21318,26,completo,39,7,1.31318
21319,26,completo,40,6,1.11441
21320,26,completo,1,0,0.127456
21321,26,completo,2,5,0.363305
21322,26,completo,3,6,0.326101
21323,26,completo,4,6,0.347826
21324,26,completo,5,6,0.328704
21325,26,completo,6,6,12.8673
21326,26,completo,7,6,0.332074
21327,26,completo,8,6,0.378297
21328,26,completo,9,6,0.354955
21329,26,completo,10,6,0.368539
21330,26,completo,11,3,0.306499
21331,26,completo,12,5,0.401818
21332,26,completo,13,5,0.405203
21333,26,completo,14,4,0.4756
21334,26,completo,15,5,0.473269
21335,26,completo,16,6,0.452315
21336,26,completo,17,7,0.596218
21337,26,completo,18,7,0.508173
21338,26,completo,19,6,0.570719
21339,26,completo,20,5,0.593967
21340,26,completo,21,3,0.501361
21341,26,completo,22,7,0.579188
21342,26,completo,23,7,0.776332
21343,26,completo,24,3,0.588354
21344,26,completo,25,5,0.828238
21345,26,completo,26,6,10.8792
21346,26,completo,27,6,0.773918
21347,26,completo,28,6,0.963957
21348,26,completo,29,6,0.777441
21349,26,completo,30,5,0.864944
21350,26,completo,31,6,0.894022
21351,26,completo,32,7,0.945495
21352,26,completo,33,6,0.97576
21353,26,completo,34,5,0.963188
21354,26,completo,35,5,1.23769
21355,26,completo,36,4,1.35456
21356,26,completo,37,5,1.08221
21357,26,completo,38,6,1.04399
21358,26,completo,39,7,1.1267
21359,26,completo,40,5,1.06113
21360,26,completo,1,0,0.122629
21361,26,completo,2,1,0.194676
21362,26,completo,3,6,0.352453
21363,26,completo,4,5,0.252384
21364,26,completo,5,6,0.365297
21365,26,completo,6,7,0.386693
21366,26,completo,7,6,0.31508
21367,26,completo,8,6,0.32641
21368,26,completo,9,5,0.290329
21369,26,completo,10,6,0.365915
21370,26,completo,11,7,0.389693
21371,26,completo,12,7,0.4152
21372,26,completo,13,6,0.421917
21373,26,completo,14,5,0.432845
21374,26,completo,15,7,0.456237
21375,26,completo,16,7,0.450657
21376,26,completo,17,7,0.477737
21377,26,completo,18,5,0.483684
21378,26,completo,19,3,0.576892
21379,26,completo,20,6,21.3256
21380,26,completo,21,5,0.637877
21381,26,completo,22,5,0.690668
21382,26,completo,23,6,0.711642
21383,26,completo,24,6,0.700899
21384,26,completo,25,7,0.721545
21385,26,completo,26,6,0.721695
